broadcast_id,sponsor,n_appearances,raw_exposure_seconds,quality_adjusted_seconds,avg_audience,equivalent_media_value_usd
GSW_2026_G01,IREN Limited,33,146.39000000000001,40.908543179999995,1800000,68726.35
GSW_2026_G02,IREN Limited,23,103.66,26.01032594,1800000,43697.35
GSW_2026_G03,IREN Limited,39,172.36,51.93467063,1800000,87250.25
GSW_2026_G04,IREN Limited,20,85.43,16.08579693,1800000,27024.14
GSW_2026_G05,IREN Limited,29,124.3,37.36775167,1800000,62777.82
GSW_2026_G06,IREN Limited,32,140.72,45.36758279,1800000,76217.54
GSW_2026_G07,IREN Limited,23,93.98,27.55174977,1800000,46286.94
GSW_2026_G08,IREN Limited,23,82.45,30.87561452,1800000,51871.03
GSW_2026_G09,IREN Limited,37,164.52,47.560839800000004,1800000,79902.21
GSW_2026_G10,IREN Limited,36,148.32,37.45371539,1800000,62922.24
GSW_2026_G11,IREN Limited,21,86.53,24.31724998,1800000,40852.98
GSW_2026_G12,IREN Limited,32,150.98,38.15283194,1800000,64096.76
