control_set,metric,n_obs,did_coefficient,std_error,p_value,significant_at_5pct,pct_lift,pct_lift_ci_low,pct_lift_ci_high
pooled (all controls),view_count,195,-0.5744,0.381,0.1317,False,-43.7,-73.3,18.8
pooled (all controls),like_count,195,-0.3188,0.3653,0.3829,False,-27.3,-64.5,48.8
pooled (all controls),comment_count,195,-0.082,0.3556,0.8176,False,-7.9,-54.1,84.9
@brooklynnets,view_count,87,-0.7665,0.4111,0.0622,False,-53.5,-79.2,4.0
@brooklynnets,like_count,87,-0.5418,0.394,0.1692,False,-41.8,-73.1,25.9
@brooklynnets,comment_count,87,-0.1637,0.4135,0.6922,False,-15.1,-62.3,91.0
@chicagobulls,view_count,79,-0.7208,0.4228,0.0882,False,-51.4,-78.8,11.4
@chicagobulls,like_count,79,-0.5173,0.3959,0.1913,False,-40.4,-72.6,29.5
@chicagobulls,comment_count,79,-0.0967,0.3931,0.8058,False,-9.2,-58.0,96.2
@denvernuggets,view_count,103,-0.5243,0.4571,0.2514,False,-40.8,-75.8,45.0
@denvernuggets,like_count,103,-0.1418,0.4452,0.7501,False,-13.2,-63.7,107.7
@denvernuggets,comment_count,103,-0.155,0.3638,0.6701,False,-14.4,-58.0,74.7
